condition,order,pairs,mean_selectivity_change,effect_size,ci_lower,ci_upper,p_value,adjusted_p_value
without-inhibition,1,8,-5.132615055064571E-05,-4.06753849317953,-5.993876733658802E-05,-4.394764066470436E-05,0.0078125,0.009765625
without-plasticity,1,8,-4.712442626729485E-05,-4.093316746988222,-5.484715709062824E-05,-4.025995086773122E-05,0.0078125,0.009765625
without-consolidation,1,8,2.7011089088396778E-05,1.155822766125872,1.2342612898107522E-05,4.1861282096143284E-05,0.0234375,0.026041666666666668
without-drift,1,8,2.4745861868652463E-06,0.17757236392088852,-5.6561139995782436E-06,1.2293912631028379E-05,0.75,0.75
without-inhibition-plasticity,2,8,-5.132615055064571E-05,-4.06753849317953,-5.993876733658802E-05,-4.394764066470436E-05,0.0078125,0.009765625
without-inhibition-consolidation,2,8,-5.081625576144888E-05,-3.255548475253119,-6.0669271671256324E-05,-4.0552083147060025E-05,0.0078125,0.009765625
without-inhibition-drift,2,8,-5.1657551867381746E-05,-3.4357556151961712,-6.172165431185192E-05,-4.177937426473634E-05,0.0078125,0.009765625
without-plasticity-consolidation,2,8,-4.516819666484928E-05,-2.4510916533716554,-5.63791876030003E-05,-3.3141182636703754E-05,0.0078125,0.009765625
without-plasticity-drift,2,8,-4.738920539153202E-05,-2.9794245642010724,-5.767018958923106E-05,-3.676368004791597E-05,0.0078125,0.009765625
without-consolidation-drift,2,8,3.272223328083801E-05,2.100242747495412,2.3765016833874122E-05,4.345256323163606E-05,0.0078125,0.009765625
