seed,delay_hours,population_overlap,first_selectivity,second_selectivity,first_success,second_success
1,0,0.17647058823529413,8.850799225745831E-06,1.0129059194285972E-05,True,True
2,0,0.1111111111111111,1.3017583754493245E-05,1.3890607866495763E-05,True,True
3,0,0.14285714285714285,1.1804850903684994E-05,9.387468612009897E-06,True,True
4,0,0.14285714285714285,1.0899653983820201E-05,1.2666929682714212E-05,True,True
5,0,0.14285714285714285,1.2516736797252292E-05,7.883454794965772E-06,True,True
6,0,0.14285714285714285,1.1180007647659806E-05,1.4232481427178811E-05,True,True
7,0,0.14285714285714285,8.503767022438602E-06,1.153522724250955E-05,True,True
8,0,0.14285714285714285,1.1378683552942803E-05,1.0593947608827925E-05,True,True
1,6,0.17647058823529413,8.90070952774824E-06,1.0338228318751419E-05,True,True
2,6,0.1111111111111111,1.3010151570180817E-05,1.4158311640422028E-05,True,True
3,6,0.14285714285714285,1.1777219118935811E-05,9.595711567889076E-06,True,True
4,6,0.14285714285714285,1.0903166341336146E-05,1.288457339498894E-05,True,True
5,6,0.14285714285714285,1.2720056749793152E-05,7.935716049289887E-06,True,True
6,6,0.14285714285714285,1.1424700420925582E-05,1.4283646914581283E-05,True,True
7,6,0.14285714285714285,8.276946275920238E-06,1.1877512990254857E-05,True,True
8,6,0.14285714285714285,1.1531561498134835E-05,1.0756991405513894E-05,True,True
1,24,0.17647058823529413,9.050420698653028E-06,1.0981137501642202E-05,True,True
2,24,0.1111111111111111,1.2865553148722064E-05,1.500627523287612E-05,True,True
3,24,0.14285714285714285,1.1569794430843494E-05,1.030390830536465E-05,True,True
4,24,0.14285714285714285,1.0853661726040187E-05,1.3424345770229884E-05,True,True
5,24,0.14285714285714285,1.2732207091414871E-05,8.49298487626271E-06,True,True
6,24,0.14285714285714285,1.188015671871323E-05,1.4612825713355981E-05,True,True
7,24,0.14285714285714285,8.509184759697419E-06,1.0842259583476732E-05,True,True
8,24,0.14285714285714285,1.2006115034268738E-05,9.887557546384151E-06,True,True
1,72,0.17647058823529413,7.805762240464809E-06,1.3156549582671317E-05,True,True
2,72,0.1111111111111111,9.926015909433872E-06,1.5799569268115654E-05,True,True
3,72,0.14285714285714285,1.0320586475986993E-05,1.2674804313661525E-05,True,True
4,72,0.14285714285714285,9.059859409132898E-06,1.4404062992579014E-05,True,True
5,72,0.14285714285714285,1.134371416711133E-05,1.0899908394423896E-05,True,True
6,72,0.14285714285714285,1.1326058998784028E-05,1.5409100937557874E-05,True,True
7,72,0.14285714285714285,6.40066873003331E-06,1.515615030922568E-05,True,True
8,72,0.1111111111111111,1.1462930142425165E-05,1.3329802198036589E-05,True,True
1,168,0.14285714285714285,5.428881701852184E-06,1.8837739314436774E-05,True,True
2,168,0.08108108108108109,7.416803698090391E-06,2.412644678750908E-05,True,True
3,168,0.14285714285714285,7.724559908273143E-06,1.754874855952604E-05,True,True
4,168,0.14285714285714285,8.965710268649119E-06,2.106583567429432E-05,True,True
5,168,0.1111111111111111,9.590820084226515E-06,1.7496877343092798E-05,True,True
6,168,0.14285714285714285,8.954105838343551E-06,2.0472889031397656E-05,True,True
7,168,0.1111111111111111,2.849194429499491E-06,2.1697392760589018E-05,True,True
8,168,0.1111111111111111,8.045419122582054E-06,1.8521552203387692E-05,True,True
